"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Year Founded","0.0","Year Founded-{DBPedia_5381+Forbes_32}","DBPedia_5381+Forbes_32","{1963|1963}","1963",,
"Revenue","0.0","Revenue-{DBPedia_2701+Forbes_300}","DBPedia_2701+Forbes_300","{213990000000|221100000000}","221100000000",,
"Revenue","1.0","Revenue-{DBPedia_4045+Forbes_68}","DBPedia_4045+Forbes_68","{51630000000|51630000000}","51630000000",,
"Profit","1.0","Profit-{Forbes_1340}","Forbes_1340","{950000000}","950000000",,
"Year Founded","0.0","Year Founded-{DBPedia_2667+Forbes_370}","DBPedia_2667+Forbes_370","{1980|1827}","1827",,
"Profit","0.0","Profit-{DBPedia_995+Forbes_430}","DBPedia_995+Forbes_430","{2907000000|3880000000}","3880000000",,
"Profit","1.0","Profit-{Forbes_574}","Forbes_574","{1400000000}","1400000000",,
"Revenue","0.0","Revenue-{DBPedia_5939+Forbes_462}","DBPedia_5939+Forbes_462","{37417000000|38680000000}","37417000000","true","37417000000"
"Assets","1.0","Assets-{DBPedia_2801+Forbes_1987}","DBPedia_2801+Forbes_1987","{13.0|13.0}","13.0",,
"Assets","0.0","Assets-{DBPedia_5395+Forbes_1992}","DBPedia_5395+Forbes_1992","{2.976|5.06}","4.018",,
"Company name","0.0","Company name-{Forbes_1434+SBTI_3539}","Forbes_1434+SBTI_3539","{Mettler-Toledo International|Mettler-Toledo International Inc.}","Mettler-Toledo International",,
"Assets","1.0","Assets-{Forbes_1435}","Forbes_1435","{16.13}","16.13",,
"Year Founded","0.0","Year Founded-{DBPedia_2250+Forbes_465}","DBPedia_2250+Forbes_465","{1931|1931}","1931",,
"Revenue","1.0","Revenue-{Forbes_615}","Forbes_615","{35100000000}","35100000000",,
"Revenue","1.0","Revenue-{Forbes_1160}","Forbes_1160","{18120000000}","18120000000",,
"Profit","0.0","Profit-{DBPedia_453+Forbes_39}","DBPedia_453+Forbes_39","{8927872000|9850000000}","8927872000","false","7600000000"
"Year Founded","1.0","Year Founded-{Forbes_610}","Forbes_610","{1843}","1843",,
"Company name","0.0","Company name-{Forbes_1796+SBTI_3178}","Forbes_1796+SBTI_3178","{Lear|Lear Corporation}","Lear",,
"Profit","0.0","Profit-{DBPedia_9913+Forbes_422}","DBPedia_9913+Forbes_422","{125110000000|1950000000}","1950000000",,
"Year Founded","1.0","Year Founded-{Forbes_658}","Forbes_658","{1970}","1970",,
"Revenue","0.0","Revenue-{DBPedia_9584+Forbes_1764}","DBPedia_9584+Forbes_1764","{3461000000|3460000000}","3461000000",,
"Company name","1.0","Company name-{DBPedia_4009+Forbes_435+SBTI_5392}","DBPedia_4009+Forbes_435+SBTI_5392","{The Estée Lauder Companies|The Estée Lauder Companies|The Estée Lauder Companies}","The Estée Lauder Companies",,
"Assets","1.0","Assets-{Forbes_606}","Forbes_606","{27.22}","27.22",,
"Profit","0.0","Profit-{DBPedia_8532+Forbes_1389}","DBPedia_8532+Forbes_1389","{726000000|730000000}","730000000",,
"Company name","1.0","Company name-{DBPedia_9748+Forbes_329+SBTI_2986}","DBPedia_9748+Forbes_329+SBTI_2986","{Kering|Kering|Kering}","Kering",,
"Profit","1.0","Profit-{Forbes_1010}","Forbes_1010","{1500000000}","1500000000",,
"Assets","1.0","Assets-{Forbes_933}","Forbes_933","{22.42}","22.42",,
"Assets","0.0","Assets-{DBPedia_6934+Forbes_894}","DBPedia_6934+Forbes_894","{7.577413888|28.31}","17.943706944",,
"Revenue","1.0","Revenue-{Forbes_1979}","Forbes_1979","{5790000000}","5790000000",,
"Company name","1.0","Company name-{DBPedia_3520+Forbes_1021+SBTI_2185}","DBPedia_3520+Forbes_1021+SBTI_2185","{Goodman Group|Goodman Group|Goodman Group}","Goodman Group",,
"Company name","1.0","Company name-{DBPedia_8030+Forbes_308+SBTI_5352}","DBPedia_8030+Forbes_308+SBTI_5352","{Tesco|Tesco|Tesco}","Tesco","true","Tesco"
"Company name","0.6666666666666666","Company name-{DBPedia_8857+Forbes_860+SBTI_2708}","DBPedia_8857+Forbes_860+SBTI_2708","{International Flavors & Fragrances|International Flavors & Fragrances|International Flavors & Fragrances Inc.}","International Flavors & Fragrances",,
"Year Founded","1.0","Year Founded-{Forbes_504}","Forbes_504","{1934}","1934",,
"Assets","1.0","Assets-{Forbes_185}","Forbes_185","{64.47}","64.47",,
"Revenue","1.0","Revenue-{Forbes_1603}","Forbes_1603","{5150000000}","5150000000",,
"Assets","1.0","Assets-{Forbes_716}","Forbes_716","{25.94}","25.94",,
"Company name","0.6666666666666666","Company name-{DBPedia_9913+Forbes_422+SBTI_915}","DBPedia_9913+Forbes_422+SBTI_915","{Canon Inc.|Canon|CANON INC.}","Canon",,
"Year Founded","1.0","Year Founded-{Forbes_1435}","Forbes_1435","{1704}","1704",,
"Revenue","0.0","Revenue-{DBPedia_7204+Forbes_12}","DBPedia_7204+Forbes_12","{198300000000|184900000000}","198300000000",,
"Year Founded","0.0","Year Founded-{DBPedia_2278+Forbes_1516}","DBPedia_2278+Forbes_1516","{1970|1970}","1970",,
"Assets","1.0","Assets-{DBPedia_7551+Forbes_959}","DBPedia_7551+Forbes_959","{18.01|18.01}","18.01",,
"Assets","0.0","Assets-{DBPedia_956+Forbes_1373}","DBPedia_956+Forbes_1373","{9.36|9.5}","9.43",,
"Company name","1.0","Company name-{Forbes_512+SBTI_1206}","Forbes_512+SBTI_1206","{Continental|Continental}","Continental",,
"Company name","1.0","Company name-{Forbes_1308+SBTI_5582}","Forbes_1308+SBTI_5582","{Transurban Group|Transurban Group}","Transurban Group",,
"Company name","0.6666666666666666","Company name-{DBPedia_3440+Forbes_1700+SBTI_4490}","DBPedia_3440+Forbes_1700+SBTI_4490","{ResMed|ResMed|ResMed Inc}","ResMed",,
"Revenue","1.0","Revenue-{Forbes_6}","Forbes_6","{469820000000}","469820000000",,
"Assets","0.0","Assets-{DBPedia_4570+Forbes_223}","DBPedia_4570+Forbes_223","{53.854|53.85}","53.852000000000004",,
"Profit","1.0","Profit-{Forbes_440}","Forbes_440","{3000000000}","3000000000",,
"Assets","1.0","Assets-{DBPedia_3303+Forbes_43}","DBPedia_3303+Forbes_43","{181.48|181.48}","181.48",,
"Company name","1.0","Company name-{DBPedia_5557+Forbes_69+SBTI_2088}","DBPedia_5557+Forbes_69+SBTI_2088","{General Motors|General Motors|General Motors}","General Motors",,
"Company name","0.6666666666666666","Company name-{DBPedia_672+Forbes_492+SBTI_4114}","DBPedia_672+Forbes_492+SBTI_4114","{Paccar|Paccar|PACCAR Inc}","Paccar",,
"Company name","0.0","Company name-{Forbes_461+SBTI_5551}","Forbes_461+SBTI_5551","{Toyota Industries|Toyota Industries Corporation}","Toyota Industries",,
"Year Founded","1.0","Year Founded-{Forbes_1434}","Forbes_1434","{1991}","1991",,
"Assets","1.0","Assets-{Forbes_1018}","Forbes_1018","{23.15}","23.15",,
"Company name","0.0","Company name-{Forbes_781+SBTI_448}","Forbes_781+SBTI_448","{Astellas Pharma|Astellas Pharma Inc.}","Astellas Pharma",,
"Assets","0.0","Assets-{DBPedia_5557+Forbes_69}","DBPedia_5557+Forbes_69","{244.718|244.72}","244.719",,
"Year Founded","1.0","Year Founded-{Forbes_1410}","Forbes_1410","{1940}","1940",,
"Assets","1.0","Assets-{Forbes_624}","Forbes_624","{15.75}","15.75",,
"Revenue","1.0","Revenue-{Forbes_610}","Forbes_610","{16830000000}","16830000000",,
"Profit","0.0","Profit-{DBPedia_3520+Forbes_1021}","DBPedia_3520+Forbes_1021","{1060200000|2460000000}","2460000000",,
"Assets","0.0","Assets-{DBPedia_10+Forbes_1828}","DBPedia_10+Forbes_1828","{6.03|5.94}","5.985",,
"Year Founded","0.0","Year Founded-{DBPedia_2701+Forbes_300}","DBPedia_2701+Forbes_300","{2001|1969}","1969",,
"Profit","0.0","Profit-{DBPedia_2655+Forbes_11}","DBPedia_2655+Forbes_11","{76000000000|76030000000}","76000000000",,
"Revenue","1.0","Revenue-{Forbes_658}","Forbes_658","{18940000000}","18940000000",,
"Profit","0.0","Profit-{DBPedia_4924+Forbes_1009}","DBPedia_4924+Forbes_1009","{13610000000|-2180000000}","13610000000",,
"Profit","0.0","Profit-{DBPedia_8523+Forbes_1522}","DBPedia_8523+Forbes_1522","{50100000|1000000000}","1000000000",,
"Profit","1.0","Profit-{DBPedia_5559+Forbes_850}","DBPedia_5559+Forbes_850","{2210000000|2210000000}","2210000000",,
"Revenue","0.0","Revenue-{DBPedia_9122+Forbes_757}","DBPedia_9122+Forbes_757","{13171000000|14270000000}","14270000000",,
"Revenue","0.0","Revenue-{DBPedia_9511+Forbes_113}","DBPedia_9511+Forbes_113","{46390000000|46380000000}","46390000000",,
"Revenue","1.0","Revenue-{DBPedia_2268+Forbes_267}","DBPedia_2268+Forbes_267","{18880000000|18880000000}","18880000000",,
"Profit","1.0","Profit-{Forbes_530}","Forbes_530","{280000000}","280000000",,
"Year Founded","0.0","Year Founded-{DBPedia_5909+Forbes_1727}","DBPedia_5909+Forbes_1727","{1883|1883}","1883",,
"Company name","0.0","Company name-{Forbes_741+SBTI_3773}","Forbes_741+SBTI_3773","{NEC|NEC Corporation}","NEC",,
"Year Founded","0.0","Year Founded-{DBPedia_8380+Forbes_927}","DBPedia_8380+Forbes_927","{2020|1961}","1961",,
"Company name","0.75","Company name-{DBPedia_7378+DBPedia_9974+Forbes_1128+SBTI_601}","DBPedia_7378+DBPedia_9974+Forbes_1128+SBTI_601","{Bath & Body Works, Inc.|Bath & Body Works|Bath & Body Works|Bath & Body Works}","Bath & Body Works","true","Bath & Body Works"
"Revenue","1.0","Revenue-{Forbes_1407}","Forbes_1407","{5070000000}","5070000000",,
"Assets","1.0","Assets-{Forbes_407}","Forbes_407","{41.12}","41.12",,
"Revenue","0.0","Revenue-{DBPedia_8030+Forbes_308}","DBPedia_8030+Forbes_308","{57887000000|84170000000}","57887000000","false","74800000000"
"Assets","1.0","Assets-{Forbes_1588}","Forbes_1588","{19.95}","19.95",,
"Year Founded","0.0","Year Founded-{DBPedia_3520+Forbes_1021}","DBPedia_3520+Forbes_1021","{1989|1989}","1989",,
"Revenue","1.0","Revenue-{Forbes_1601}","Forbes_1601","{4720000000}","4720000000",,
"Revenue","0.0","Revenue-{DBPedia_672+Forbes_492}","DBPedia_672+Forbes_492","{23520000000|23540000000}","23540000000",,
"Revenue","0.0","Revenue-{DBPedia_18+Forbes_599}","DBPedia_18+Forbes_599","{13916000000|11790000000}","13916000000",,
"Profit","1.0","Profit-{Forbes_1367}","Forbes_1367","{730000000}","730000000",,
"Year Founded","0.0","Year Founded-{DBPedia_2277+Forbes_226}","DBPedia_2277+Forbes_226","{1836|1836}","1836","false","1836"
"Revenue","1.0","Revenue-{Forbes_99}","Forbes_99","{44630000000}","44630000000",,
"Profit","0.0","Profit-{DBPedia_8361+Forbes_489}","DBPedia_8361+Forbes_489","{1482026752|2040000000}","1482026752",,
"Year Founded","1.0","Year Founded-{Forbes_1214}","Forbes_1214","{2011}","2011",,
"Profit","0.0","Profit-{DBPedia_5909+Forbes_1727}","DBPedia_5909+Forbes_1727","{734000000|730000000}","730000000",,
"Assets","1.0","Assets-{Forbes_1214}","Forbes_1214","{4.43}","4.43",,
"Revenue","1.0","Revenue-{DBPedia_8532+Forbes_1389}","DBPedia_8532+Forbes_1389","{2040000000|2040000000}","2040000000",,
"Company name","0.6666666666666666","Company name-{DBPedia_4791+Forbes_101+SBTI_815}","DBPedia_4791+Forbes_101+SBTI_815","{British American Tobacco|British American Tobacco|British American Tobacco (BAT)}","British American Tobacco",,
"Profit","1.0","Profit-{Forbes_1147}","Forbes_1147","{690000000}","690000000",,
"Year Founded","0.0","Year Founded-{DBPedia_8523+Forbes_1522}","DBPedia_8523+Forbes_1522","{1959|1959}","1959",,
"Company name","1.0","Company name-{Forbes_574+SBTI_415}","Forbes_574+SBTI_415","{Asahi Group Holdings|Asahi Group Holdings}","Asahi Group Holdings",,
"Company name","1.0","Company name-{Forbes_153+SBTI_1385}","Forbes_153+SBTI_1385","{Deere & Company|Deere & Company}","Deere & Company",,
"Revenue","0.0","Revenue-{DBPedia_10208+Forbes_731}","DBPedia_10208+Forbes_731","{4609000000|5120000000}","4609000000",,
"Year Founded","1.0","Year Founded-{Forbes_633}","Forbes_633","{1978}","1978",,
"Year Founded","1.0","Year Founded-{Forbes_548}","Forbes_548","{1957}","1957",,
"Revenue","0.0","Revenue-{DBPedia_48+Forbes_998}","DBPedia_48+Forbes_998","{1018000000000|9880000000}","9880000000",,
"Profit","0.0","Profit-{DBPedia_7365+Forbes_659}","DBPedia_7365+Forbes_659","{1170000000|1160000000}","1160000000",,
"Assets","1.0","Assets-{Forbes_627}","Forbes_627","{22.16}","22.16",,
"Year Founded","1.0","Year Founded-{Forbes_1588}","Forbes_1588","{2017}","2017",,
"Year Founded","0.0","Year Founded-{DBPedia_6934+Forbes_894}","DBPedia_6934+Forbes_894","{1952|1952}","1952",,
"Company name","0.0","Company name-{Forbes_803+SBTI_5721}","Forbes_803+SBTI_5721","{UPM-Kymmene|UPM-Kymmene Corporation}","UPM-Kymmene",,
"Company name","1.0","Company name-{DBPedia_7556+Forbes_657+SBTI_3956}","DBPedia_7556+Forbes_657+SBTI_3956","{NXP Semiconductors|NXP Semiconductors|NXP Semiconductors}","NXP Semiconductors",,
"Revenue","1.0","Revenue-{Forbes_504}","Forbes_504","{22570000000}","22570000000",,
"Profit","1.0","Profit-{Forbes_1498}","Forbes_1498","{410000000}","410000000",,
"Profit","1.0","Profit-{Forbes_1232}","Forbes_1232","{70000000}","70000000",,
"Assets","1.0","Assets-{Forbes_48}","Forbes_48","{839.85}","839.85",,
"Company name","0.6666666666666666","Company name-{DBPedia_2864+Forbes_365+SBTI_2827}","DBPedia_2864+Forbes_365+SBTI_2827","{Japan Tobacco|Japan Tobacco|Japan Tobacco Inc.}","Japan Tobacco",,
"Year Founded","1.0","Year Founded-{Forbes_741}","Forbes_741","{1899}","1899",,
"Company name","1.0","Company name-{DBPedia_6128+Forbes_215+SBTI_4214}","DBPedia_6128+Forbes_215+SBTI_4214","{Philip Morris International|Philip Morris International|Philip Morris International}","Philip Morris International",,
"Profit","1.0","Profit-{Forbes_401}","Forbes_401","{3800000000}","3800000000",,
"Profit","0.0","Profit-{DBPedia_3163+Forbes_1747}","DBPedia_3163+Forbes_1747","{12379263534|530000000}","12379263534",,
"Profit","0.0","Profit-{DBPedia_10+Forbes_1828}","DBPedia_10+Forbes_1828","{466580000|570000000}","570000000",,
"Profit","0.0","Profit-{DBPedia_9840+Forbes_667}","DBPedia_9840+Forbes_667","{81790000000|1330000000}","81790000000",,
"Assets","1.0","Assets-{Forbes_1498}","Forbes_1498","{15.44}","15.44",,
"Assets","1.0","Assets-{Forbes_1232}","Forbes_1232","{35.15}","35.15",,
"Profit","1.0","Profit-{Forbes_558}","Forbes_558","{4220000000}","4220000000",,
"Company name","0.0","Company name-{Forbes_732+SBTI_2643}","Forbes_732+SBTI_2643","{Industrial Bank of Korea|Industrial Bank of Korea (IBK)}","Industrial Bank of Korea",,
"Profit","1.0","Profit-{Forbes_316}","Forbes_316","{1780000000}","1780000000",,
"Assets","1.0","Assets-{Forbes_1147}","Forbes_1147","{32.27}","32.27",,
"Year Founded","1.0","Year Founded-{Forbes_1018}","Forbes_1018","{1907}","1907",,
"Revenue","0.0","Revenue-{DBPedia_2278+Forbes_1516}","DBPedia_2278+Forbes_1516","{2960000000|2890000000}","2890000000",,
"Profit","1.0","Profit-{Forbes_48}","Forbes_48","{8390000000}","8390000000",,
"Company name","0.6666666666666666","Company name-{DBPedia_2667+Forbes_370+SBTI_1293}","DBPedia_2667+Forbes_370+SBTI_1293","{CSX Corporation|CSX|CSX Corporation}","CSX",,
"Assets","1.0","Assets-{Forbes_47}","Forbes_47","{152.71}","152.71",,
"Profit","1.0","Profit-{Forbes_1380}","Forbes_1380","{580000000}","580000000",,
"Assets","0.0","Assets-{DBPedia_9913+Forbes_422}","DBPedia_9913+Forbes_422","{4770.0|41.26}","2405.63",,
"Assets","1.0","Assets-{Forbes_887}","Forbes_887","{54.13}","54.13",,
"Assets","1.0","Assets-{Forbes_512}","Forbes_512","{42.46}","42.46",,
"Year Founded","0.0","Year Founded-{DBPedia_4406+Forbes_677}","DBPedia_4406+Forbes_677","{1998|1998}","1998",,
"Revenue","0.0","Revenue-{DBPedia_2836+Forbes_1448}","DBPedia_2836+Forbes_1448","{836000000000|30860000000}","30860000000",,
"Year Founded","0.0","Year Founded-{DBPedia_17+Forbes_509}","DBPedia_17+Forbes_509","{1915|1915}","1915",,
"Profit","1.0","Profit-{DBPedia_3303+Forbes_43}","DBPedia_3303+Forbes_43","{21980000000|21980000000}","21980000000",,
"Company name","0.6666666666666666","Company name-{DBPedia_8517+Forbes_1938+SBTI_2058}","DBPedia_8517+Forbes_1938+SBTI_2058","{Gap Inc.|Gap|Gap Inc.}","Gap",,
"Year Founded","1.0","Year Founded-{Forbes_129}","Forbes_129","{2000}","2000",,
"Revenue","0.0","Revenue-{DBPedia_1344+Forbes_697}","DBPedia_1344+Forbes_697","{23156080640|17890000000}","23156080640",,
"Revenue","1.0","Revenue-{Forbes_1886}","Forbes_1886","{8440000000}","8440000000",,
"Year Founded","0.0","Year Founded-{DBPedia_10+Forbes_1828}","DBPedia_10+Forbes_1828","{1914|1914}","1914",,
"Assets","1.0","Assets-{Forbes_1367}","Forbes_1367","{90.81}","90.81",,
"Year Founded","1.0","Year Founded-{Forbes_1367}","Forbes_1367","{2002}","2002",,
"Revenue","1.0","Revenue-{Forbes_741}","Forbes_741","{27720000000}","27720000000",,
"Assets","0.0","Assets-{DBPedia_9387+Forbes_432}","DBPedia_9387+Forbes_432","{31.37|31.14}","31.255000000000003",,
"Assets","1.0","Assets-{DBPedia_9511+Forbes_113}","DBPedia_9511+Forbes_113","{109.31|109.31}","109.31",,
"Assets","0.0","Assets-{DBPedia_3546+Forbes_1504}","DBPedia_3546+Forbes_1504","{6.215|6.22}","6.217499999999999",,
"Assets","1.0","Assets-{DBPedia_8380+Forbes_927}","DBPedia_8380+Forbes_927","{54.84|54.84}","54.84",,
"Assets","1.0","Assets-{Forbes_998}","Forbes_998","{32.31}","32.31",,
"Profit","1.0","Profit-{Forbes_1160}","Forbes_1160","{1160000000}","1160000000",,
"Assets","1.0","Assets-{Forbes_732}","Forbes_732","{334.87}","334.87",,
"Company name","1.0","Company name-{Forbes_1242+SBTI_386}","Forbes_1242+SBTI_386","{Arkema|Arkema}","Arkema",,
"Profit","1.0","Profit-{Forbes_47}","Forbes_47","{18490000000}","18490000000",,
"Revenue","1.0","Revenue-{Forbes_633}","Forbes_633","{16120000000}","16120000000",,
"Company name","1.0","Company name-{DBPedia_7553+Forbes_818+SBTI_5102}","DBPedia_7553+Forbes_818+SBTI_5102","{Stora Enso|Stora Enso|Stora Enso}","Stora Enso",,
"Profit","1.0","Profit-{Forbes_1979}","Forbes_1979","{760000000}","760000000",,
"Company name","0.0","Company name-{Forbes_1130+SBTI_2681}","Forbes_1130+SBTI_2681","{Innolux|Innolux Corporation}","Innolux",,
"Revenue","1.0","Revenue-{Forbes_548}","Forbes_548","{36250000000}","36250000000",,
"Revenue","0.0","Revenue-{DBPedia_6385+Forbes_525}","DBPedia_6385+Forbes_525","{4760000000|4830000000}","4830000000",,
"Year Founded","1.0","Year Founded-{Forbes_676}","Forbes_676","{1995}","1995",,
"Assets","0.0","Assets-{DBPedia_4746+Forbes_1465}","DBPedia_4746+Forbes_1465","{7.971|7.97}","7.9704999999999995",,
"Company name","1.0","Company name-{Forbes_6+SBTI_267}","Forbes_6+SBTI_267","{Amazon|Amazon}","Amazon",,
"Year Founded","1.0","Year Founded-{Forbes_1498}","Forbes_1498","{1919}","1919",,
"Year Founded","1.0","Year Founded-{Forbes_1147}","Forbes_1147","{1948}","1948",,
"Revenue","0.0","Revenue-{DBPedia_2667+Forbes_370}","DBPedia_2667+Forbes_370","{10583000000|13120000000}","13120000000",,
"Assets","1.0","Assets-{Forbes_1010}","Forbes_1010","{8.5}","8.5",,
"Company name","0.0","Company name-{Forbes_150+SBTI_5263}","Forbes_150+SBTI_5263","{Target|Target Corporation}","Target",,
"Company name","1.0","Company name-{DBPedia_9138+Forbes_907+SBTI_4735}","DBPedia_9138+Forbes_907+SBTI_4735","{Seagate Technology|Seagate Technology|Seagate Technology}","Seagate Technology",,
"Revenue","1.0","Revenue-{Forbes_129}","Forbes_129","{46920000000}","46920000000",,
"Revenue","0.0","Revenue-{DBPedia_8690+Forbes_583}","DBPedia_8690+Forbes_583","{8803000000|8800000000}","8803000000",,
"Year Founded","0.0","Year Founded-{DBPedia_2682+Forbes_331}","DBPedia_2682+Forbes_331","{1919|1919}","1919","false","1919"
"Revenue","0.0","Revenue-{DBPedia_8523+Forbes_1522}","DBPedia_8523+Forbes_1522","{651900000|900000000}","900000000",,
"Company name","0.6666666666666666","Company name-{DBPedia_4595+Forbes_278+SBTI_3470}","DBPedia_4595+Forbes_278+SBTI_3470","{McKesson Corporation|McKesson|McKesson Corporation}","McKesson",,
"Year Founded","0.0","Year Founded-{DBPedia_5753+Forbes_274}","DBPedia_5753+Forbes_274","{1988|1883}","1883",,
"Profit","0.0","Profit-{DBPedia_4570+Forbes_223}","DBPedia_4570+Forbes_223","{7545000000|7550000000}","7550000000",,
"Year Founded","1.0","Year Founded-{Forbes_1232}","Forbes_1232","{1928}","1928",,
"Profit","1.0","Profit-{Forbes_732}","Forbes_732","{2110000000}","2110000000",,
"Profit","1.0","Profit-{Forbes_624}","Forbes_624","{2890000000}","2890000000",,
"Profit","0.0","Profit-{DBPedia_48+Forbes_998}","DBPedia_48+Forbes_998","{61400000000|990000000}","990000000",,
"Profit","0.0","Profit-{DBPedia_701+DBPedia_8936+Forbes_555}","DBPedia_701+DBPedia_8936+Forbes_555","{1750000000|1780000000|1320000000}","1780000000",,
"Year Founded","0.0","Year Founded-{DBPedia_1344+Forbes_697}","DBPedia_1344+Forbes_697","{2005|1984}","1984",,
"Company name","1.0","Company name-{DBPedia_7571+Forbes_792+SBTI_1622}","DBPedia_7571+Forbes_792+SBTI_1622","{Eiffage|Eiffage|Eiffage}","Eiffage",,
"Profit","0.0","Profit-{DBPedia_9387+Forbes_432}","DBPedia_9387+Forbes_432","{2180000000|2300000000}","2180000000",,
"Year Founded","0.0","Year Founded-{DBPedia_8532+Forbes_1389}","DBPedia_8532+Forbes_1389","{1968|1998}","1998",,
"Year Founded","0.0","Year Founded-{DBPedia_6008+Forbes_1865}","DBPedia_6008+Forbes_1865","{1975|1975}","1975",,
"Company name","0.6666666666666666","Company name-{DBPedia_9235+Forbes_706+SBTI_703}","DBPedia_9235+Forbes_706+SBTI_703","{Biogen|Biogen|Biogen Inc.}","Biogen",,
"Year Founded","0.0","Year Founded-{DBPedia_5939+Forbes_462}","DBPedia_5939+Forbes_462","{1999|1999}","1999","false","1999"
"Company name","1.0","Company name-{Forbes_1351+SBTI_4952}","Forbes_1351+SBTI_4952","{Smurfit Kappa Group|Smurfit Kappa Group}","Smurfit Kappa Group",,
"Revenue","0.0","Revenue-{DBPedia_4557+Forbes_1536}","DBPedia_4557+Forbes_1536","{13814707200|17360000000}","17360000000",,
"Assets","0.0","Assets-{DBPedia_2277+Forbes_226}","DBPedia_2277+Forbes_226","{51.25538304|62.03}","56.64269152","false","64.535"
"Year Founded","1.0","Year Founded-{Forbes_1340}","Forbes_1340","{2014}","2014",,
"Revenue","0.0","Revenue-{DBPedia_5909+Forbes_1727}","DBPedia_5909+Forbes_1727","{5050000000|5040000000}","5050000000",,
"Profit","1.0","Profit-{Forbes_512}","Forbes_512","{1720000000}","1720000000",,
"Assets","0.0","Assets-{DBPedia_3163+Forbes_1747}","DBPedia_3163+Forbes_1747","{94.313357636|6.91}","50.611678818",,
"Company name","0.6666666666666666","Company name-{DBPedia_5110+Forbes_839+SBTI_5290}","DBPedia_5110+Forbes_839+SBTI_5290","{TDK|TDK|TDK Corporation}","TDK",,
"Revenue","1.0","Revenue-{Forbes_676}","Forbes_676","{20640000000}","20640000000",,
"Revenue","0.0","Revenue-{DBPedia_2277+Forbes_226}","DBPedia_2277+Forbes_226","{27168924160|34160000000}","27168924160","false","34198000000"
"Year Founded","0.0","Year Founded-{DBPedia_8361+Forbes_489}","DBPedia_8361+Forbes_489","{1975|1975}","1975",,
"Revenue","0.0","Revenue-{DBPedia_4570+Forbes_223}","DBPedia_4570+Forbes_223","{23|23220000000}","23220000000",,
"Year Founded","0.0","Year Founded-{DBPedia_701+DBPedia_8936+Forbes_555}","DBPedia_701+DBPedia_8936+Forbes_555","{1990|1990|1990}","1990",,
"Company name","0.6666666666666666","Company name-{DBPedia_4570+Forbes_223+SBTI_3467}","DBPedia_4570+Forbes_223+SBTI_3467","{McDonald's|McDonald's|McDonald's Corporation}","McDonald's",,
"Profit","1.0","Profit-{Forbes_887}","Forbes_887","{450000000}","450000000",,
"Year Founded","0.0","Year Founded-{DBPedia_9584+Forbes_1764}","DBPedia_9584+Forbes_1764","{1998|1998}","1998",,
"Company name","1.0","Company name-{DBPedia_9122+Forbes_757+SBTI_4024}","DBPedia_9122+Forbes_757+SBTI_4024","{Omnicom Group|Omnicom Group|Omnicom Group}","Omnicom Group",,
"Year Founded","0.0","Year Founded-{DBPedia_10208+Forbes_731}","DBPedia_10208+Forbes_731","{1993|1993}","1993",,
"Company name","1.0","Company name-{Forbes_1603+SBTI_6012}","Forbes_1603+SBTI_6012","{Workday|Workday}","Workday",,
"Profit","1.0","Profit-{DBPedia_4403+Forbes_601}","DBPedia_4403+Forbes_601","{1040000000|1040000000}","1040000000",,
"Revenue","1.0","Revenue-{Forbes_1796}","Forbes_1796","{19260000000}","19260000000",,
"Company name","0.5","Company name-{DBPedia_701+DBPedia_8936+Forbes_555+SBTI_5333}","DBPedia_701+DBPedia_8936+Forbes_555+SBTI_5333","{Telus|Telus Corporation|TELUS|TELUS Corporation}","Telus",,
"Assets","1.0","Assets-{Forbes_401}","Forbes_401","{37.18}","37.18",,
"Year Founded","0.0","Year Founded-{DBPedia_9122+Forbes_757}","DBPedia_9122+Forbes_757","{1986|1986}","1986",,
"Assets","1.0","Assets-{Forbes_316}","Forbes_316","{525.34}","525.34",,
"Assets","1.0","Assets-{Forbes_558}","Forbes_558","{34.97}","34.97",,
"Assets","1.0","Assets-{Forbes_667}","Forbes_667","{31.04}","31.04",,
"Year Founded","0.0","Year Founded-{DBPedia_7551+Forbes_959}","DBPedia_7551+Forbes_959","{1994|1994}","1994",,
"Revenue","1.0","Revenue-{Forbes_1772}","Forbes_1772","{3190000000}","3190000000",,
"Revenue","0.0","Revenue-{DBPedia_806+Forbes_597}","DBPedia_806+Forbes_597","{26000000000|15820000000}","15820000000","false","16168500000"
"Revenue","0.0","Revenue-{DBPedia_956+Forbes_1373}","DBPedia_956+Forbes_1373","{5740000000|6190000000}","5740000000",,
"Revenue","0.0","Revenue-{DBPedia_896+Forbes_1170}","DBPedia_896+Forbes_1170","{15798000000|18210000000}","15798000000",,
"Revenue","0.0","Revenue-{DBPedia_8380+Forbes_927}","DBPedia_8380+Forbes_927","{17890000000|17860000000}","17890000000",,
"Assets","1.0","Assets-{Forbes_1340}","Forbes_1340","{7.73}","7.73",,
"Profit","0.0","Profit-{DBPedia_956+Forbes_1373}","DBPedia_956+Forbes_1373","{730000000|1010000000}","730000000",,
"Assets","1.0","Assets-{Forbes_40}","Forbes_40","{182.02}","182.02",,
"Assets","1.0","Assets-{Forbes_64}","Forbes_64","{277.28}","277.28",,
"Profit","0.0","Profit-{DBPedia_10208+Forbes_731}","DBPedia_10208+Forbes_731","{1109000000|2250000000}","1109000000",,
